¿En qué presentación sueles comprar tu kola granulada;¿con que frecuencia (cantidad de veces que toman el producto) consumen Kola Granulada las personas adultas de la casa?;¿con que frecuencia (cantidad de veces que toman el producto) consumen Kola Granulada los niños de la casa?;¿con que frecuencia (cantidad de veces que toman el producto) consumen Kola Granulada las personas adultas de la casa?;¿con que frecuencia (cantidad de veces que toman el producto) consumen Kola Granulada los niños de la casa?;¿En qué lugar sueles sueles comprar la kola granulada?;Que presentación acostumbras a comprar en la tienda?;¿Que presentación acostumbras comprar en el supermercado?;¿Que presentación acostumbras comprar en la tienda?;¿Que presentación acostumbras comprar en la drogueria?;¿Con que frecuencia realizas la compra de tu kola granulada?
Tarro 200g;1 vez al día;2 veces al día;1 vez al día;2 veces al día;En un supermercado de cadena;;Tarro 330 gr;;;Cada 15 días
Tarro 200g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;Una vez al mes
Sobre 15 g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En la tienda;Sobre (sachet) 25 gr;;;;A diario
Sobre 30g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En una droguería;;;;Tarro 135 gr;2 o 3 veces a la semana
Sobre 100g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En una tienda de descuento (D1, Ara..);;;Tarro 200 gr;;Cada 15 días
Sobre 30g;Día de por medio;1 vez al día;Día de por medio;1 vez al día;En la tienda;Sobre (sachet) 25 gr;;;;2 o 3 veces a la semana
Tarro 135g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;1 vez a la semana
Tarro 200g;Día de por medio;2 o menos veces a la semana;Día de por medio;2 o menos veces a la semana;En una tienda de descuento (D1, Ara..);;;Tarro 200 gr;;Cada 15 días
Tarro 200g;Día de por medio;Día de por medio;Día de por medio;Día de por medio;En un supermercado de cadena;;Tarro 330 gr + doypack 80gr;;;Cada dos meses
Tarro 330g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;Cada 15 días
Tarro 200g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;1 vez a la semana
Sobre 15 g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;Cada 15 días
Sobre 400g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;Otro ¿cuál?;Tarro de 135 gr;;;;2 o 3 veces a la semana
Tarro 135g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;Cada 15 días
Tarro 380g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En una droguería;;;;Tarro 380gr;Una vez al mes
Tarro 135g;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;En un supermercado de cadena;;Tarro 135 gr;;;Una vez al mes
Tarro 135g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;Cada 15 días
Tarro 200g;Día de por medio;Día de por medio;Día de por medio;Día de por medio;En una tienda de descuento (D1, Ara..);;;Tarro 200 gr;;Cada 15 días
Sobre 100g;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;En una tienda de descuento (D1, Ara..);;;Otro ¿cuál?;;Cada 15 días
Sobre 30g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un supermercado de cadena;;Tarro 135 gr;;;Una vez al mes
Tarro 200g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr;;;Cada 15 días
Tarro 380g;Día de por medio;1 vez al día;Día de por medio;1 vez al día;En un supermercado de cadena;;Tarro 330 gr;;;1 vez a la semana
Sobre 15 g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En la tienda;Sobre (sachet) 25 gr;;;;2 o 3 veces a la semana
Sobre 400g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr;;;Cada 15 días
Sobre 100g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En la tienda;Tarro de 135 gr;;;;Una vez al mes
Tarro 380g;2 o menos veces a la semana;2 veces al día;2 o menos veces a la semana;2 veces al día;En un distribuidor de la plaza de mercado;;Tarro 330 gr + doypack 80gr;;;A diario
Tarro 200g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un supermercado de cadena;;Tarro 135 gr;;;2 o 3 veces a la semana
Tarro 200g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr;;;Cada dos meses
Sobre 25g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En la tienda;Sobre (sachet) 25 gr;;;;1 vez a la semana
Tarro 135g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;Cada dos meses
Tarro 330g;2 veces al día;1 vez al día;2 veces al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr;;;Cada 15 días
Sobre 400g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr + doypack 80gr;;;Cada 15 días
Sobre 25g;2 veces al día;Día de por medio;2 veces al día;Día de por medio;En una droguería;;;;Tarro 135 gr;1 vez a la semana
Tarro 200g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;1 vez a la semana
Tarro 380g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En una tienda de descuento (D1, Ara..);;;Otro ¿cuál?;;Cada 15 días
Tarro 380g;1 vez al día;2 veces al día;1 vez al día;2 veces al día;En un supermercado de cadena;;Tarro 330 gr + doypack 80gr;;;Una vez al mes
Sobre 15 g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En la tienda;Sobre (sachet) 25 gr;;;;A diario
Tarro 330g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr;;;Una vez al mes
Tarro 135g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;Cada 15 días
Tarro 135g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En la tienda;Tarro de 135 gr;;;;2 o 3 veces a la semana
Tarro 135g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En una droguería;;;;Tarro 135 gr;A diario
Tarro 330g;1 vez al día;2 veces al día;1 vez al día;2 veces al día;En un supermercado de cadena;;Tarro 330 gr + doypack 80gr;;;1 vez a la semana
Tarro 380g;1 vez al día;2 veces al día;1 vez al día;2 veces al día;En un mini mercado;Tarro de 135 gr;;;;Cada 15 días
