"","Marca Confiable","Marca innovadora","Marca que endulza mejor","Marca con amplia trayectoria","Marca Experta","Es la marca que me ofrece mejor relación costo /beneficio","Marca Cercana","Es la Marca líder en el mercado","Marca Lejana","Marca Nueva","Es una marca reconocida","Es una marca de excelente calidad /pureza","Es una marca saludable","Es una marca que no se encuentra fácil en supermercados","Es sostenible con el medio ambiente","Es la más dulce","Es una marca costosa","Es la marca más procesada","Es la más natural","Es una marca económica","Es orgánica","Se disuelve fácil","Es una marca con producto de fácil disolución","Es la marca que no modifica el sabor de las comidas","Es la marca que no modifica el color de las comidas"
"63","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"64","Riopaila","Incauca","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Incauca","Providencia","Manuelita","Manuelita","Riopaila","Riopaila","Providencia","Manuelita","Riopaila","Incauca","Incauca","Riopaila","Providencia","Manuelita","Riopaila","Manuelita","Riopaila","Riopaila"
"65","Providencia","Manuelita","Incauca","Riopaila","Providencia","Manuelita","Incauca","Riopaila","Providencia","Riopaila","Manuelita","Incauca","Providencia","Manuelita","Incauca","Riopaila","Incauca","Riopaila","Providencia","Manuelita","Incauca","Riopaila","Providencia","Manuelita","Incauca"
"66","Manuelita",NA,"Manuelita","Incauca",NA,NA,NA,"Manuelita",NA,"Providencia","Manuelita",NA,NA,"Manuelita",NA,NA,NA,NA,NA,NA,NA,NA,"Manuelita",NA,NA
"67","Providencia","Manuelita","Incauca","Manuelita","Manuelita","Incauca","Manuelita","Incauca","Incauca","Manuelita","Manuelita","Incauca","Manuelita","Providencia","Incauca","Providencia","Providencia","Manuelita","Incauca",NA,"Providencia","Providencia","Manuelita","Incauca","Manuelita"
"68","Manuelita","Riopaila","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Incauca","Providencia","Providencia","Manuelita","Manuelita","Providencia","Providencia","Manuelita","Manuelita","Incauca","Incauca","Manuelita","Providencia","Providencia","Manuelita","Manuelita","Incauca","Incauca"
"69","Providencia","Providencia","Manuelita","Riopaila","Riopaila","Manuelita",NA,"Incauca","Incauca","Manuelita","Manuelita","Riopaila","Incauca","Manuelita","Manuelita","Incauca","Incauca","Providencia","Incauca","Manuelita","Providencia","Providencia","Providencia","Manuelita","Manuelita"
"70","Manuelita","Providencia","Incauca","Incauca","Manuelita","Riopaila","Riopaila","Riopaila","Incauca","Incauca","Manuelita","Manuelita","Manuelita","Incauca","Incauca","Incauca","Riopaila","Riopaila","Riopaila","Incauca","Incauca","Riopaila","Riopaila","Incauca","Incauca"
"71","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca"
"72","Manuelita","Providencia","Providencia","Manuelita","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Manuelita","Providencia","Providencia","Providencia","Providencia","Manuelita","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia"
"73","Riopaila","Manuelita","Riopaila","Incauca","Incauca","Riopaila","Incauca","Providencia","Manuelita","Riopaila","Riopaila","Riopaila","Providencia","Manuelita","Incauca","Manuelita","Manuelita","Manuelita","Manuelita","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila"
"74","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia",NA,"Providencia","Providencia","Providencia","Providencia","Providencia","Manuelita","Manuelita","Providencia"
"75","Riopaila","Manuelita","Manuelita","Riopaila","Riopaila","Manuelita","Riopaila","Riopaila","Providencia","Providencia","Manuelita","Riopaila","Providencia","Riopaila","Providencia","Riopaila","Riopaila","Riopaila","Providencia","Manuelita","Providencia","Manuelita","Manuelita","Manuelita","Riopaila"
"76","Manuelita",NA,"Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"77","Incauca","Providencia","Manuelita","Manuelita","Incauca","Riopaila","Manuelita","Incauca","Providencia","Providencia","Manuelita","Incauca","Incauca","Providencia","Riopaila","Incauca","Providencia","Riopaila","Incauca","Riopaila","Incauca","Manuelita","Manuelita","Incauca","Riopaila"
"78","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Manuelita","Incauca","Incauca","Incauca","Incauca","Incauca"
"79","Manuelita","Manuelita","Incauca","Incauca",NA,"Manuelita",NA,"Manuelita","Providencia","Providencia","Manuelita","Incauca","Manuelita","Manuelita","Providencia","Manuelita","Riopaila","Incauca","Incauca","Manuelita","Incauca","Manuelita","Manuelita","Manuelita","Manuelita"
"80","Riopaila",NA,"Providencia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Riopaila","Riopaila","Riopaila","Manuelita","Riopaila","Riopaila","Riopaila","Riopaila","Providencia","Providencia","Riopaila","Riopaila","Incauca","Incauca","Riopaila","Riopaila","Providencia","Providencia","Riopaila","Manuelita","Incauca","Riopaila","Riopaila","Riopaila","Manuelita"
"82","Providencia","Manuelita","Incauca","Incauca","Riopaila","Incauca","Incauca","Manuelita","Manuelita","Incauca","Incauca","Manuelita","Incauca","Incauca","Manuelita","Incauca","Incauca","Riopaila","Riopaila","Incauca","Incauca","Riopaila","Riopaila","Riopaila","Incauca"
"83","Riopaila","Incauca","Incauca","Incauca","Incauca","Riopaila","Riopaila","Incauca","Providencia","Providencia","Incauca","Incauca","Incauca","Providencia","Incauca","Incauca","Incauca","Incauca","Manuelita","Manuelita","Incauca","Incauca","Incauca","Riopaila","Riopaila"
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Incauca","Providencia","Incauca","Riopaila","Incauca","Manuelita","Incauca","Incauca","Riopaila","Providencia","Incauca","Incauca","Incauca","Incauca","Incauca","Providencia","Manuelita","Incauca","Riopaila","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca"
"86","Incauca","Incauca","Incauca","Incauca","Incauca","Manuelita","Incauca","Incauca","Providencia","Providencia","Incauca","Incauca","Incauca","Providencia","Incauca","Incauca","Incauca","Incauca","Incauca","Providencia","Incauca","Incauca","Incauca","Incauca","Incauca"
"87","Manuelita","Riopaila",NA,"Manuelita",NA,"Manuelita","Manuelita","Manuelita","Riopaila","Riopaila","Manuelita","Manuelita","Riopaila","Manuelita","Manuelita","Manuelita","Incauca","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"88","Incauca","Manuelita","Manuelita","Incauca","Incauca","Manuelita","Incauca","Incauca","Manuelita","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Manuelita","Manuelita","Manuelita","Manuelita","Incauca","Incauca","Incauca","Manuelita","Manuelita"
