"","Marca Confiable","Marca innovadora","Marca que endulza mejor","Marca con amplia trayectoria","Marca Experta","Es la marca que me ofrece mejor relación costo /beneficio","Marca Cercana","Es la Marca líder en el mercado","Marca Lejana","Marca Nueva","Es una marca reconocida","Es una marca de excelente calidad /pureza","Es una marca saludable","Es una marca que no se encuentra fácil en supermercados","Es sostenible con el medio ambiente","Es la más dulce","Es una marca costosa","Es la marca más procesada","Es la más natural","Es una marca económica","Es orgánica","Se disuelve fácil","Es una marca con producto de fácil disolución","Es la marca que no modifica el sabor de las comidas","Es la marca que no modifica el color de las comidas"
"248","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Riopaila","Manuelita","Manuelita","Providencia","Providencia","Manuelita","Manuelita","Manuelita","Manuelita","Providencia","Manuelita","Manuelita","Manuelita","Providencia","Providencia","Providencia","Manuelita","Manuelita","Manuelita","Manuelita"
"249","Manuelita","Manuelita","Manuelita","Incauca","Incauca","Manuelita","Manuelita","Manuelita","Riopaila","Providencia","Incauca","Manuelita","Manuelita","Riopaila","Incauca","Manuelita","Incauca","Riopaila","Manuelita","Riopaila","Manuelita","Manuelita","Incauca","Incauca","Incauca"
"250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Manuelita","Manuelita","Manuelita","Incauca","Manuelita","Incauca","Manuelita","Manuelita","Providencia","Providencia","Manuelita","Manuelita","Manuelita","Providencia","Manuelita","Manuelita","Manuelita","Riopaila","Manuelita","Riopaila","Manuelita","Manuelita","Manuelita","Manuelita","Incauca"
"253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila"
"255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Incauca","Manuelita","Manuelita",NA,NA,"Riopaila","Riopaila","Incauca","Riopaila","Providencia","Manuelita","Incauca","Manuelita","Riopaila","Providencia","Manuelita","Riopaila","Providencia","Manuelita","Incauca","Providencia","Manuelita","Manuelita","Manuelita","Incauca"
"258","Riopaila","Providencia","Riopaila","Incauca","Riopaila","Riopaila","Manuelita","Riopaila","Providencia","Manuelita","Riopaila","Riopaila","Providencia","Providencia","Providencia","Riopaila","Manuelita","Riopaila","Providencia","Incauca","Manuelita","Riopaila","Riopaila","Riopaila","Riopaila"
"259","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila"
"262","Manuelita","Manuelita","Manuelita",NA,"Manuelita","Manuelita","Manuelita","Manuelita","Incauca","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"263","Manuelita","Providencia","Manuelita","Manuelita","Incauca","Manuelita","Manuelita","Incauca","Riopaila","Providencia","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Providencia","Providencia","Manuelita","Riopaila","Incauca","Manuelita","Manuelita","Incauca","Manuelita"
"264","Riopaila","Providencia","Riopaila","Manuelita","Riopaila","Riopaila","Riopaila","Manuelita","Manuelita","Providencia","Incauca","Riopaila","Riopaila","Incauca","Riopaila","Riopaila","Manuelita","Incauca","Riopaila","Providencia","Providencia","Riopaila","Riopaila","Riopaila","Riopaila"
"265","Manuelita","Providencia","Manuelita","Manuelita","Manuelita","Riopaila","Incauca","Manuelita","Providencia","Incauca","Manuelita","Manuelita","Manuelita","Providencia","Providencia","Manuelita","Providencia","Incauca","Manuelita","Incauca","Providencia",NA,"Manuelita","Manuelita","Manuelita"
"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Incauca","Manuelita",NA,"Providencia","Providencia","Providencia","Incauca","Providencia","Manuelita","Riopaila","Riopaila","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia"
"269","Manuelita","Providencia","Providencia","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Incauca","Providencia","Manuelita","Manuelita","Providencia","Providencia","Providencia","Manuelita","Providencia","Manuelita","Providencia","Riopaila","Providencia","Manuelita","Manuelita","Manuelita","Manuelita"
"270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"274","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Riopaila","Incauca","Manuelita","Manuelita","Manuelita","Riopaila","Manuelita","Manuelita","Incauca","Providencia","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Providencia"
"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Providencia","Providencia","Manuelita","Manuelita","Manuelita","Providencia","Manuelita","Manuelita","Riopaila","Providencia","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"282","Incauca","Riopaila","Incauca","Manuelita","Manuelita","Incauca","Riopaila","Incauca","Manuelita","Manuelita","Manuelita","Incauca","Incauca","Riopaila","Manuelita",NA,"Manuelita","Providencia","Riopaila","Incauca","Manuelita","Riopaila","Incauca","Incauca","Incauca"
"283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Incauca","Incauca","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Incauca","Incauca","Manuelita","Incauca","Incauca","Riopaila","Incauca","Manuelita","Incauca","Incauca","Incauca","Riopaila","Incauca"
"285","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","Riopaila","Incauca","Providencia","Riopaila","Riopaila","Riopaila","Manuelita","Manuelita","Riopaila","Incauca","Riopaila","Manuelita","Manuelita","Riopaila","Riopaila","Riopaila","Incauca","Manuelita","Riopaila","Riopaila","Incauca","Manuelita","Manuelita","Riopaila","Riopaila"
"289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","Manuelita","Incauca","Providencia","Riopaila","Incauca","Manuelita","Incauca","Manuelita","Providencia","Providencia","Incauca","Manuelita","Incauca","Incauca","Providencia","Riopaila","Riopaila","Incauca","Manuelita","Manuelita","Providencia","Manuelita","Providencia","Providencia","Riopaila"
"291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","Incauca","Providencia","Providencia","Incauca","Incauca","Manuelita","Incauca","Incauca","Riopaila","Providencia","Incauca","Incauca","Providencia","Incauca","Providencia","Manuelita","Providencia","Incauca","Providencia","Incauca","Providencia","Manuelita","Incauca","Manuelita","Riopaila"
"294","Providencia","Incauca","Manuelita",NA,"Riopaila","Providencia","Riopaila","Riopaila","Providencia","Providencia","Incauca","Manuelita","Manuelita","Providencia","Riopaila","Providencia","Manuelita","Manuelita","Riopaila","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia"
"295","Manuelita","Riopaila","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Incauca","Providencia","Riopaila","Riopaila","Riopaila","Riopaila","Manuelita","Manuelita","Providencia","Riopaila","Manuelita","Manuelita","Riopaila","Riopaila","Manuelita","Manuelita","Manuelita"
"296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","Incauca","Incauca",NA,"Providencia","Manuelita","Incauca","Incauca","Incauca","Providencia","Providencia","Manuelita","Incauca","Incauca","Providencia","Incauca","Incauca","Manuelita","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca"
"299","Manuelita","Incauca","Manuelita","Incauca","Manuelita","Manuelita","Manuelita","Manuelita","Incauca","Providencia","Providencia","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Incauca","Incauca","Incauca","Riopaila",NA,"Riopaila","Riopaila"
"300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","Incauca","Incauca","Incauca","Manuelita","Manuelita","Providencia","Incauca","Manuelita","Providencia","Providencia","Riopaila","Incauca","Incauca","Incauca","Manuelita","Incauca","Manuelita","Riopaila","Incauca","Providencia","Providencia","Incauca","Manuelita","Incauca","Incauca"
"302","Manuelita","Providencia","Riopaila","Manuelita","Manuelita","Manuelita","Manuelita","Riopaila","Incauca","Providencia","Manuelita","Manuelita","Manuelita","Providencia","Manuelita","Manuelita","Incauca","Incauca","Providencia","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"303","Incauca","Manuelita","Incauca","Manuelita","Riopaila","Incauca","Incauca","Incauca","Providencia","Providencia","Incauca","Incauca","Riopaila","Manuelita","Incauca","Manuelita","Manuelita","Manuelita","Incauca","Providencia","Incauca","Incauca","Manuelita","Incauca","Incauca"
"304","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Incauca","Providencia","Providencia","Providencia","Providencia","Incauca","Providencia","Providencia","Providencia","Incauca","Providencia","Incauca","Providencia","Providencia","Providencia","Providencia","Providencia"
"305","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Providencia","Riopaila","Incauca","Incauca","Incauca","Providencia","Incauca","Incauca","Providencia","Providencia","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca"
"306","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"307","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila"
"308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","Incauca","Riopaila","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Riopaila","Manuelita","Incauca","Incauca","Incauca","Manuelita","Riopaila","Incauca","Providencia","Manuelita","Incauca","Incauca","Manuelita","Incauca","Incauca","Incauca","Incauca"
"311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"318","Manuelita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Manuelita","Riopaila","Incauca","Incauca","Incauca","Manuelita","Incauca","Incauca","Manuelita","Riopaila","Incauca","Incauca","Providencia","Incauca","Incauca","Incauca","Incauca"
"320","Manuelita","Providencia","Riopaila","Manuelita","Manuelita","Riopaila","Manuelita","Providencia","Incauca","Incauca",NA,"Riopaila","Providencia","Providencia","Providencia","Providencia","Incauca","Providencia","Providencia","Providencia","Providencia","Incauca","Providencia","Providencia","Providencia"
"321","Manuelita","Providencia","Manuelita","Incauca","Incauca","Manuelita","Manuelita",NA,"Riopaila","Providencia","Incauca","Manuelita","Providencia","Providencia","Providencia","Manuelita","Providencia","Incauca","Providencia","Manuelita","Providencia","Manuelita","Manuelita","Incauca","Incauca"
"322","Incauca","Manuelita","Incauca","Manuelita","Manuelita","Incauca","Incauca","Manuelita","Riopaila","Riopaila","Incauca","Manuelita","Providencia","Riopaila","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Manuelita","Incauca","Incauca","Incauca"
"323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","Manuelita","Providencia","Riopaila","Manuelita","Manuelita","Riopaila","Manuelita","Riopaila","Providencia","Providencia","Manuelita","Incauca","Riopaila",NA,"Providencia","Incauca","Manuelita","Manuelita","Riopaila","Riopaila","Providencia","Riopaila","Riopaila","Riopaila","Riopaila"
"325","Incauca","Riopaila","Incauca","Riopaila","Incauca","Riopaila","Riopaila","Riopaila","Providencia","Providencia","Riopaila","Riopaila","Riopaila","Providencia","Riopaila","Incauca","Providencia","Providencia","Riopaila","Riopaila","Providencia","Riopaila","Riopaila","Riopaila","Incauca"
"326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","Providencia","Providencia","Providencia","Manuelita","Manuelita","Providencia","Providencia","Manuelita","Riopaila","Providencia","Manuelita","Manuelita","Providencia","Providencia","Providencia","Manuelita","Riopaila","Manuelita","Providencia","Providencia","Providencia","Providencia","Providencia","Providencia","Manuelita"
"329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","Manuelita","Incauca","Incauca","Riopaila","Providencia","Riopaila","Incauca","Riopaila","Providencia","Manuelita","Riopaila","Manuelita","Incauca","Riopaila","Manuelita","Manuelita","Incauca","Incauca","Incauca","Manuelita","Manuelita","Manuelita","Manuelita","Providencia","Manuelita"
"331","Manuelita","Manuelita","Incauca","Providencia","Manuelita","Manuelita","Incauca","Manuelita","Manuelita","Incauca","Manuelita","Incauca","Riopaila","Manuelita","Incauca","Incauca","Riopaila","Manuelita","Manuelita","Riopaila","Manuelita","Incauca","Riopaila","Manuelita","Incauca"
"332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca"
"335","Incauca","Manuelita","Incauca","Manuelita","Manuelita","Manuelita","Incauca","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca"
"336","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila"
"337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","Manuelita","Incauca","Providencia","Riopaila","Incauca","Providencia","Manuelita","Providencia","Providencia","Providencia","Providencia","Providencia","Manuelita","Riopaila","Riopaila","Providencia","Manuelita","Manuelita","Providencia","Providencia","Providencia","Manuelita","Incauca","Manuelita","Manuelita"
"339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","Incauca","Manuelita","Manuelita","Manuelita","Incauca","Manuelita","Manuelita","Incauca","Providencia","Providencia","Manuelita","Incauca","Manuelita","Providencia","Manuelita","Manuelita","Providencia","Providencia","Manuelita","Incauca","Providencia","Manuelita","Manuelita","Manuelita","Manuelita"
"341","Incauca","Riopaila","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Providencia","Providencia","Incauca","Incauca","Incauca","Providencia","Incauca","Incauca","Manuelita","Riopaila","Incauca","Incauca","Manuelita","Incauca","Incauca","Incauca","Riopaila"
"342","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Providencia","Providencia","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca"
"343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","Incauca","Riopaila","Incauca","Riopaila","Manuelita","Manuelita","Manuelita","Manuelita","Incauca","Manuelita","Manuelita","Manuelita","Manuelita","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Manuelita","Incauca","Manuelita","Incauca","Incauca","Manuelita"
"346","Incauca","Providencia","Incauca","Manuelita","Manuelita","Riopaila","Incauca","Incauca","Providencia","Providencia","Incauca","Incauca","Providencia","Incauca","Incauca","Manuelita",NA,"Incauca","Incauca","Riopaila","Providencia","Incauca","Incauca","Providencia","Incauca"
"347","Riopaila","Riopaila","Riopaila","Incauca","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila"
"348","Manuelita","Providencia","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Incauca","Riopaila","Manuelita","Manuelita","Manuelita","Incauca","Riopaila","Manuelita","Manuelita","Providencia","Manuelita","Providencia","Incauca","Manuelita","Manuelita","Manuelita","Incauca"
"349","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Manuelita","Incauca"
"350","Manuelita","Incauca","Manuelita","Manuelita","Incauca","Providencia","Manuelita","Manuelita","Incauca","Riopaila","Manuelita","Manuelita","Manuelita","Providencia","Manuelita","Riopaila","Riopaila",NA,"Manuelita","Providencia","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","Incauca","Incauca","Incauca","Riopaila","Incauca","Incauca","Incauca","Incauca","Manuelita","Providencia","Riopaila","Incauca","Incauca","Providencia","Incauca","Riopaila","Providencia","Providencia","Incauca","Riopaila","Riopaila","Incauca","Riopaila","Incauca","Incauca"
"353","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Providencia","Providencia","Incauca","Incauca","Incauca","Providencia","Incauca","Incauca","Manuelita","Manuelita","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca"
"354","Incauca","Incauca","Incauca","Manuelita","Incauca","Incauca","Manuelita","Riopaila","Providencia","Providencia","Riopaila","Incauca","Incauca","Providencia","Incauca","Manuelita","Incauca","Providencia","Incauca","Riopaila","Incauca","Incauca","Incauca","Incauca","Incauca"
"355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Manuelita","Riopaila",NA,"Incauca",NA,"Riopaila","Riopaila","Riopaila",NA,"Riopaila",NA,"Riopaila","Riopaila","Riopaila","Manuelita","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila"
"357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Providencia","Providencia","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Manuelita","Manuelita","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca"
"359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Providencia","Providencia","Manuelita","Manuelita","Manuelita","Providencia","Manuelita","Manuelita","Providencia","Incauca","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"361","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Riopaila","Providencia","Incauca","Incauca","Incauca","Providencia","Incauca","Incauca",NA,"Providencia","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca"
"362","Providencia","Manuelita","Incauca","Riopaila","Incauca","Manuelita","Providencia","Manuelita","Incauca","Riopaila","Incauca","Manuelita","Providencia","Manuelita","Incauca","Riopaila","Incauca","Manuelita","Providencia","Manuelita","Incauca","Riopaila","Incauca","Manuelita","Providencia"
"363","Incauca","Incauca","Incauca","Manuelita","Incauca","Incauca","Riopaila","Incauca","Providencia","Providencia","Incauca","Incauca","Incauca","Riopaila","Incauca","Manuelita","Incauca","Manuelita","Incauca","Providencia","Incauca","Incauca","Riopaila","Manuelita","Incauca"
"364","Incauca","Incauca","Manuelita","Manuelita","Incauca","Manuelita","Incauca","Manuelita","Manuelita","Manuelita","Incauca","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Incauca","Manuelita","Manuelita","Incauca"
"365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
