"","P17_1","P17_2","P17_3"
"145","Seguridad","Precios","Ubicación"
"146","Que realicen ferias y/o eventos de mi interés","Precios","Facilidad y amplitud del Estacionamiento"
"147","Seguridad","Ubicación","Precios"
"148","Variedad de tiendas para mi","Ubicación","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)"
"149","Seguridad","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Precios"
"150","Seguridad","Ubicación","Variedad de tiendas para mi"
"151","Ubicación","Opciones de tiendas para toda la familia","Que no cobren el parqueadero"
"152","Ubicación","Variedad de tiendas para mi","Precios"
"153","Seguridad","Precios","Ubicación"
"154","Seguridad","Ubicación","Facilidad y amplitud del Estacionamiento"
"155","Ubicación","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Que no cobren el parqueadero"
"156","Variedad de tiendas para mi","Seguridad","Ubicación"
"157","Ubicación","Facilidad y amplitud del Estacionamiento","Ambiente en general (como se siente)"
"158","Que realicen ferias y/o eventos de mi interés","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Seguridad"
"159","Ubicación","Seguridad","Opciones de servicios (bancos, salud, servirtecas, etc)"
"160","Seguridad","Ubicación","Precios"
"161","Seguridad","Ubicación","Variedad de tiendas para mi"
"162","Opciones de entretenimiento (cine, juegos para niños, karts etc)",NA,NA
"163","Seguridad","Precios","Ubicación"
"164","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Que no cobren el parqueadero","Ubicación"
"165","Ubicación","Precios","Ambiente en general (como se siente)"
"166","Ubicación","Precios","Variedad de tiendas para mi"
"167","Ubicación","Seguridad","Precios"
"168","Ubicación","Variedad de tiendas para mi","Seguridad"
"169","Precios","Opciones de tiendas para toda la familia","Ubicación"
"170","Ambiente en general (como se siente)","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Variedad de tiendas para mi"
"171","Precios","Ubicación","Variedad de tiendas para mi"
"172","Seguridad","Precios","Ubicación"
"173","Ubicación","Ambiente en general (como se siente)","Precios"
"174","Ubicación","Variedad de tiendas para mi","Precios"
"175","Ubicación","Seguridad","Variedad de tiendas para mi"
"176","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Opciones de servicios (bancos, salud, servirtecas, etc)","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)"
"177","Variedad de tiendas para mi","Ubicación","Seguridad"
"178","Variedad de tiendas para mi","Seguridad","Opciones de entretenimiento (cine, juegos para niños, karts etc)"
"179","Ubicación","Precios","Ambiente en general (como se siente)"
"180","Opciones de servicios (bancos, salud, servirtecas, etc)","Ubicación","Precios"
"181","Ubicación","Variedad de tiendas para mi","Ambiente en general (como se siente)"
"182","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Ubicación","Opciones de servicios (bancos, salud, servirtecas, etc)"
"183","Ubicación","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Seguridad"
"184","Ubicación","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Ambiente en general (como se siente)"
"185","Ubicación","Seguridad","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)"
"186","Variedad de tiendas para mi","Ubicación","Que no cobren el parqueadero"
"187","Ambiente en general (como se siente)","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Precios"
"188","Ubicación","Precios","Variedad de tiendas para mi"
"189","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Opciones de tiendas para toda la familia","Opciones de servicios (bancos, salud, servirtecas, etc)"
"190","Ubicación","Variedad de tiendas para mi","Precios"
"191","Que realicen ferias y/o eventos de mi interés","Ubicación","Variedad de tiendas para mi"
"192","Variedad de tiendas para mi","Seguridad","Ubicación"
"193","Opciones de tiendas para toda la familia","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Ubicación"
"194","Ubicación","Variedad de tiendas para mi","Que no cobren el parqueadero"
"195","Seguridad","Ubicación",NA
"196","Seguridad","Variedad de tiendas para mi","Ambiente en general (como se siente)"
"197","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Ambiente en general (como se siente)","Variedad de tiendas para mi"
"198","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Ambiente en general (como se siente)","Que realicen ferias y/o eventos de mi interés"
"199","Variedad de tiendas para mi","Precios","Seguridad"
"200","Seguridad","Precios","Variedad de tiendas para mi"
"201","Precios","Que sea de fácil acceso (cantidad de entradas y salidas)","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)"
"202","Que no cobren el parqueadero","Variedad de tiendas para mi","Que realicen ferias y/o eventos de mi interés"
"203","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Precios","Ubicación"
"204","Ubicación","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Ambiente en general (como se siente)"
"205","Variedad de tiendas para mi","Seguridad","Opciones de servicios (bancos, salud, servirtecas, etc)"
"206","Variedad de tiendas para mi","Ubicación","Opciones de servicios (bancos, salud, servirtecas, etc)"
"207","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Ubicación"
"208","Ubicación","Precios","Variedad de tiendas para mi"
"209","Ubicación","Variedad de tiendas para mi","Seguridad"
"210","Ubicación","Que realicen ferias y/o eventos de mi interés","Seguridad"
"211","Ubicación","Seguridad","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)"
"212","Ubicación","Ambiente en general (como se siente)","Facilidad y amplitud del Estacionamiento"
"213","Precios","Seguridad","Ubicación"
"214","Ubicación","Opciones de tiendas para toda la familia","Variedad de tiendas para mi"
"215","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Ubicación"
"216","Seguridad","Ubicación","Variedad de tiendas para mi"
"217","Ubicación","Precios","Que no cobren el parqueadero"
"218","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Precios","Variedad de tiendas para mi"
"219","Opciones de tiendas para toda la familia","Que no cobren el parqueadero","Ambiente en general (como se siente)"
"220","Ubicación",NA,NA
"221","Precios","Opciones de servicios (bancos, salud, servirtecas, etc)","Que sea de fácil acceso (cantidad de entradas y salidas)"
"222","Ubicación","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Variedad de tiendas para mi"
"223","Ubicación","Precios","Variedad de tiendas para mi"
"224","Variedad de tiendas para mi","Seguridad","Ubicación"
"225","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Ubicación"
"226","Precios","Ubicación","Seguridad"
"227","Ubicación","Que no cobren el parqueadero","Variedad de tiendas para mi"
"228","Seguridad","Ubicación","Variedad de tiendas para mi"
"229","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Facilidad y amplitud del Estacionamiento","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)"
"230","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Que sea de fácil acceso (cantidad de entradas y salidas)"
"231","Ubicación","Ambiente en general (como se siente)","Opciones de entretenimiento (cine, juegos para niños, karts etc)"
"232","Seguridad","Variedad de tiendas para mi","Ubicación"
"233","Ubicación","Ambiente en general (como se siente)","Variedad de tiendas para mi"
"234","Seguridad","Ubicación","Variedad de tiendas para mi"
"235","Opciones de tiendas para toda la familia","Seguridad","Ubicación"
"236","Precios","Ubicación","Seguridad"
"237","Ubicación","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)"
"238","Variedad de tiendas para mi","Precios","Ubicación"
"239","Ubicación","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Que no cobren el parqueadero"
"240","Ubicación","Precios","Que realicen ferias y/o eventos de mi interés"
"241","Ubicación","Variedad de tiendas para mi","Precios"
"242","Ubicación","Que realicen ferias y/o eventos de mi interés",NA
"243","Seguridad","Ubicación","Opciones de entretenimiento (cine, juegos para niños, karts etc)"
"244","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Ubicación"
"245","Ubicación","Variedad de tiendas para mi","Precios"
"246","Ubicación","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Variedad de tiendas para mi"
"247","Que no cobren el parqueadero","Ubicación","Opciones de servicios (bancos, salud, servirtecas, etc)"
"248","Seguridad","Ambiente en general (como se siente)","Ubicación"
"249","Precios","Ubicación","Seguridad"
"250","Ubicación","Seguridad","Ambiente en general (como se siente)"
"251","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Seguridad","Ubicación"
"252","Que no cobren el parqueadero","Ubicación","Precios"
"253","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Precios","Ubicación"
"254","Precios","Variedad de tiendas para mi","Que realicen ferias y/o eventos de mi interés"
"255","Ubicación","Ambiente en general (como se siente)","Seguridad"
"256","Precios","Seguridad","Ubicación"
"257","Ubicación","Precios","Ambiente en general (como se siente)"
"258","Variedad de tiendas para mi","Ubicación","Que realicen ferias y/o eventos de mi interés"
"259","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Ubicación","Variedad de tiendas para mi"
"260","Ubicación","Seguridad","Variedad de tiendas para mi"
"261","Ubicación","Variedad de tiendas para mi","Precios"
"262","Ubicación","Precios","Variedad de tiendas para mi"
"263","Ubicación","Variedad de tiendas para mi","Precios"
"264","Ubicación","Precios","Variedad de tiendas para mi"
"265","Ubicación","Precios","Seguridad"
"266","Seguridad","Ubicación","Opciones de servicios (bancos, salud, servirtecas, etc)"
"267","Ubicación","Seguridad","Variedad de tiendas para mi"
"268","Seguridad","Ubicación","Precios"
"269","Ubicación","Variedad de tiendas para mi","Precios"
"270","Precios","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Opciones de tiendas para toda la familia"
"271","Ubicación","Variedad de tiendas para mi","Ambiente en general (como se siente)"
"272","Precios","Que no cobren el parqueadero","Ubicación"
"273","Ubicación","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Opciones de entretenimiento (cine, juegos para niños, karts etc)"
"274","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Opciones de tiendas para toda la familia","Ubicación"
"275","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Opciones de tiendas para toda la familia"
"276","Ambiente en general (como se siente)","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Precios"
"277","Ubicación","Seguridad","Precios"
"278","Que no cobren el parqueadero","Ubicación","Variedad de tiendas para mi"
"279","Ubicación",NA,NA
"280","Variedad de tiendas para mi","Precios","Ubicación"
"281","Ambiente en general (como se siente)","Seguridad","Precios"
"282","Variedad de tiendas para mi","Ubicación","Opciones de entretenimiento (cine, juegos para niños, karts etc)"
"283","Precios","Ambiente en general (como se siente)","Variedad de tiendas para mi"
"284","Precios","Ubicación","Que sea de fácil acceso (cantidad de entradas y salidas)"
"285","Ambiente en general (como se siente)","Ubicación","Variedad de tiendas para mi"
"286","Seguridad","Ambiente en general (como se siente)","Precios"
"287","Ubicación","Seguridad","Precios"
"288","Ambiente en general (como se siente)","Ubicación","Que no cobren el parqueadero"
"289","Que no cobren el parqueadero","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Seguridad"
"290","Ubicación","Que realicen ferias y/o eventos de mi interés","Variedad de tiendas para mi"
"291","Ubicación","Seguridad","Variedad de tiendas para mi"
"292","Variedad de tiendas para mi","Ubicación","Precios"
"293","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)","Ubicación","Opciones de entretenimiento (cine, juegos para niños, karts etc)"
"294","Seguridad","Ubicación",NA
"295","Facilidad y amplitud del Estacionamiento","Variedad de tiendas para mi","Ubicación"
"296","Opciones de tiendas para toda la familia","Variedad de tiendas para mi","Ubicación"
"297","Ubicación","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Ambiente en general (como se siente)"
"298","Precios","Ubicación","Variedad de tiendas para mi"
"299","Ubicación","Variedad de tiendas para mi","Seguridad"
"300","Precios","Variedad de tiendas para mi","Facilidad y amplitud del Estacionamiento"
"301","Variedad de tiendas para mi","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Seguridad"
"302","Ubicación","Variedad de tiendas para mi",NA
"303","Variedad de tiendas para mi","Ambiente en general (como se siente)","Precios"
"304","Ubicación","Variedad de tiendas para mi","Precios"
"305","Seguridad","Variedad de tiendas para mi","Ubicación"
"306","Ubicación","Variedad de tiendas para mi","Opciones de comida (diferentes restaurantes, comida rápida, formal etc)"
"307","Seguridad","Ambiente en general (como se siente)","Ubicación"
"308","Precios","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Opciones de tiendas para toda la familia"
"309","Ubicación","Precios","Variedad de tiendas para mi"
"310","Ubicación","Precios","Variedad de tiendas para mi"
"311","Precios","Seguridad","Ambiente en general (como se siente)"
